detection_datetime,transmitter_id,tagging_project_name,species_common_name,species_scientific_name,animal_sex,receiver_project_name,installation_name,station_name,receiver_name,receiver_deployment_longitude,receiver_deployment_latitude,transmitter_sensor_type,transmitter_type,transmitter_estimated_battery_life,transmitter_deployment_longitude,transmitter_deployment_latitude,transmitter_deployment_datetime
22/03/2022 4:14,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
4/03/2022 1:13,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
4/03/2022 1:10,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
19/02/2022 6:23,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
19/02/2022 6:22,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
19/02/2022 6:20,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
19/02/2022 6:19,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
25/01/2022 12:21,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
17/01/2022 1:19,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
17/12/2021 23:08,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
